target,top_score,is_solved,number_of_solved_routes,is_solved_01
O=C(NCCS)C1=CCC(C2CNCCC2c2nc3c(c(=O)[nH]2)NCCN3)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2C2CC=CCC2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2[PH](=O)[O-])CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2C2CNc3nc[nH]c(=O)c3N2)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2P(=O)([O-])O)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2c2ccc3[nH]c4nc(=O)[nH]c(=O)c-4nc3c2)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2c2ccc3nc4c(=O)[nH]c(=O)nc-4[nH]c3c2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2n2c3nc(=O)[nH]c(=O)c-3nc3ccccc32)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CNCCC2[NH+]2CCOCC2)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(CO)C2)CC1,0.762371294,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCCNC3)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(N3CCCCC3)C2)CC1,0.725947071,FALSE,0,0
O=CNCN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C(=O)NO)C2)CC1,0.805113738,FALSE,0,0
CC(O)c1cc2nc3c(=O)[nH]c(=O)nc-3n(F)c2cc1I,0.725947071,FALSE,0,0
CC(O)c1cc2nc3c(=O)[nH]c(=O)nc-3n(F)c2cc1-c1ccc2[nH]c3nc(=O)[nH]c(=O)c-3nc2c1,0.785,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ncnc4[nH]cnc34)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3cscn3)C2)CC1,0.805113738,FALSE,0,0
CC(C)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.805113738,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3cccc4ccccc34)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3cn[nH]c3)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3nccs3)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3cc[nH]c3)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccc[nH+]c3)C2)CC1,0.762371294,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(I)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccc[nH]3)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(S)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccncn3)C2)CC1,0.762371294,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ncccn3)C2)CC1,0.805113738,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccn[nH]3)C2)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccc4ccccc4c3)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(Br)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3nc4[nH]cnc4c(=O)[nH]3)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN([PH](=O)O)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(n3cccn3)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(F)C2)CC1,0.725947071,FALSE,0,0
N=C(N)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.765960146,FALSE,0,0
CC(C)(C)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.7375,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN([SH](=O)=O)C2)CC1,0.773447071,FALSE,0,0
CC(O)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCCC3)C2)CC1,0.805113738,FALSE,0,0
CC(C)(O)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.785,FALSE,0,0
NC(=O)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.773447071,FALSE,0,0
C=CN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCCOC3)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCOC3)C2)CC1,0.762371294,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN([n+]3ccccc3)C2)CC1,0.765960146,FALSE,0,0
O=CNN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.79403796,FALSE,0,0
CNN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.765960146,FALSE,0,0
NCN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.725947071,FALSE,0,0
NN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.725947071,FALSE,0,0
CN(C)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.762371294,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(Cl)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCCO3)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C(F)(F)F)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(n3cnc4cncnc43)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(N3CCOCC3)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCCCC3)C2)CC1,0.762371294,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCNC3)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCCN3)C2)CC1,0.797626813,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(N3CCCC3)C2)CC1,0.725947071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN([N+](=O)[O-])C2)CC1,0.773447071,FALSE,0,0
NS(=O)(=O)N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.805113738,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(P(=O)(O)O)C2)CC1,0.762371294,FALSE,0,0
CC(=O)NCN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(n3cnc4c(=O)[nH]cnc43)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(N3CCNCC3)C2)CC1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CCCCO3)C2)CC1,0.773447071,FALSE,0,0
C[SH+]C1CCN(c2ccc(-c3ncncc3-c3nc4[nH]cnc4c(=O)[nH]3)s2)CC1,0.857891516,FALSE,0,0
CC(O)c1cc2nc3c(=O)[nH]c(=O)nc-3n(F)c2cc1-c1nc2[nH]cnc2c(=O)[nH]1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccccn3)C2)CC1,0.805113738,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3cc[nH]n3)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3cccnc3)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3c[nH]c(=O)[nH]c3=O)C2)CC1,0.805113738,FALSE,0,0
CC(=O)NN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3cc[nH]c(=O)n3)C2)CC1,0.773447071,FALSE,0,0
C[SH+]N1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.765960146,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(CS)C2)CC1,0.725947071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3nc4c(c(=O)[nH]3)NCCN4)C2)CC1,0.79403796,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccc4[nH]c5nc(=O)[nH]c(=O)c-5nc4c3)C2)CC1,0.762371294,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3C=CCCC3)C2)CC1,0.773447071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(C3CC=CCC3)C2)CC1,0.805113738,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(c3ccc4nc5c(=O)[nH]c(=O)nc-5[nH]c4c3)C2)CC1,0.762371294,FALSE,0,0
N=CN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.725947071,FALSE,0,0
CC(C)=CN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.805113738,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN([PH](=O)[O-])C2)CC1,0.762371294,FALSE,0,0
CC=CN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.773447071,FALSE,0,0
[NH3+]CN1CCCC(C2CC=C(C(=O)NCCS)CC2)C1,0.725947071,FALSE,0,0
O=C(NCCS)C1=CCC(C2CCCN(n3ccc(=O)[nH]c3=O)C2)CC1,0.773447071,FALSE,0,0
